16:17:01.749 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
16:17:01.860 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@15b3e5b, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@61ca2dfa, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4b53f538, org.springframework.test.context.transaction.TransactionalTestExecutionListener@134593bf, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4bb4de6a]
16:17:02.446 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/applicationContext-dao.xml]
16:17:02.748 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/applicationContext-service.xml]
16:17:03.120 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@49c43f4e: startup date [Fri Apr 13 16:17:03 CST 2018]; root of context hierarchy
16:17:04.540 [main] INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [jdbc.properties]
16:17:05.642 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
16:17:09.455 [main] INFO  org.hqu.production_ms.util.JsonUtils - OrderList is: test,12,2,24
16:17:09.463 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
16:17:09.464 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6b7906b3, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@3a1dd365, org.springframework.test.context.support.DirtiesContextTestExecutionListener@395b56bb, org.springframework.test.context.transaction.TransactionalTestExecutionListener@256f8274, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@68044f4]
16:17:09.692 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
16:17:09.693 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@34997338, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@57eda880, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2b5825fa, org.springframework.test.context.transaction.TransactionalTestExecutionListener@53d1b9b3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2cae1042]
16:17:09.769 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
